City,Carlsbad,Chula Vista,Coronado,Del Mar,El Cajon,Encinitas,Escondido,Imperial Beach,La Mesa,Lemon Grove,National City,Oceanside,Poway,San Diego,San Marcos,Santee,Solana Beach,Vista,Total,Alpine,Bonita,Bonsall,Borrego Springs,Boulevard,Campo,Descanso,Dulzura,Fallbrook,Jamul,Julian,Lakeside,Pala,Pauma Valley,Potrero,Ramona,Ranchita,Santa Ysabel,Rancho Santa Fe,Spring Valley,Tecate,Valley Center,Other,Total,Unknown,San Diego County,Date Retrieved
Administration,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Incorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unincorporated,Unknown,Total,Unnamed: 46_level_1
Data through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,43.6,106.9,32.3,***,131.7,53.8,48.2,60.4,81.6,82.0,114.0,31.6,43.8,65.3,28.2,49.1,43.0,37.7,75.3,,,,,,,,,,,,,,,,,,,,,,,,65.3,,74.6,2020-04-24 14:45:08
2020-04-22,43.6,116.3,32.3,***,144.0,53.8,49.5,63.9,106.1,93.2,126.9,32.1,45.8,72.3,28.2,50.9,43.0,38.7,79.6,***,159.5,***,***,***,***,***,,39.3,***,,101.7,,***,,69.0,***,,***,255.3,***,***,,72.3,,79.2,2020-04-24 14:18:04
2020-04-23,43.6,129.3,32.3,***,152.5,53.8,52.8,67.5,111.0,93.2,134.9,33.8,49.8,79.7,29.2,50.9,43.0,40.6,84.7,***,159.5,***,***,***,***,***,,39.3,***,***,106.5,***,***,***,69.0,***,,***,262.4,***,***,***,79.7,,84.7,2020-04-25
2020-04-24,43.6,136.1,32.3,***,159.2,53.8,54.8,71.0,112.6,96.9,159.0,37.2,51.8,82.4,29.2,50.9,43.0,43.5,88.2,***,167.5,***,***,***,***,***,,39.3,***,***,106.5,***,***,***,69.0,***,,***,273.0,***,***,***,82.4,,88.2,2020-04-26 06:01:06
2020-04-25,43.6,144.7,32.3,***,162.9,53.8,56.1,74.6,114.3,96.9,170.3,37.8,53.8,83.4,29.2,50.9,43.0,44.5,90.9,***,183.4,***,***,***,***,***,,39.3,***,***,106.5,***,***,***,69.0,***,,***,280.1,***,***,***,83.4,,91.2,2020-04-27 06:01:07
2020-04-26,43.6,147.7,36.9,***,171.5,53.8,56.8,81.7,115.9,104.3,176.7,38.3,55.8,89.3,29.2,50.9,43.0,45.5,93.3,***,191.4,***,***,***,***,***,,39.3,***,***,106.5,***,***,***,69.0,***,,***,290.7,***,***,***,89.3,,94.1,2020-04-28 06:01:06
2020-04-27,44.5,157.4,36.9,***,179.1,53.8,62.7,85.2,119.2,123.0,189.5,39.5,61.7,95.1,30.3,52.6,43.0,48.4,98.6,***,199.4,***,***,***,***,***,,45.9,***,***,106.5,***,***,***,78.8,***,,***,312.0,***,***,***,95.1,,99.3,2020-04-29 06:01:06
2020-04-28,45.4,162.6,36.9,***,183.8,55.4,69.3,88.8,120.8,130.4,199.2,40.6,61.7,99.8,31.3,54.4,43.0,49.3,101.9,***,199.4,***,***,***,***,***,,49.1,***,***,116.2,***,***,***,78.8,***,,***,326.2,***,***,***,99.8,,102.8,2020-04-30 06:17:33
2020-04-29,47.1,172.0,36.9,***,183.8,53.8,72.0,92.3,120.8,134.2,216.8,41.7,63.7,103.3,32.4,61.4,43.0,51.3,106.0,***,207.4,***,***,***,***,***,,45.9,***,***,140.4,***,***,***,83.8,***,,***,351.0,***,***,***,103.3,,106.8,2020-05-01 06:01:08
2020-04-30,48.9,183.9,41.5,***,189.5,53.8,75.3,92.3,120.8,137.9,229.7,44.0,63.7,105.4,33.4,61.4,43.0,55.1,110.7,***,207.4,***,***,***,***,***,,45.9,***,***,140.4,***,***,***,83.8,***,,***,358.1,***,***,***,105.4,,111.2,2020-05-02 06:01:07
2020-05-01,48.9,192.1,50.7,***,197.0,52.2,80.5,103.0,127.3,149.1,245.8,45.7,63.7,107.4,33.4,61.4,43.0,58.0,114.8,***,207.4,***,***,***,***,***,,42.6,***,***,150.1,***,***,***,93.6,***,,***,372.3,***,***,***,107.4,,115.1,2020-05-03 06:01:06
2020-05-02,48.9,196.6,50.7,***,202.7,52.2,81.9,106.5,130.6,156.5,253.8,45.1,63.7,108.6,34.5,63.2,43.0,60.9,117.5,***,207.4,***,***,***,***,***,,42.6,***,***,155.0,***,***,***,93.6,***,,***,386.5,***,***,***,108.6,,117.7,2020-05-04 06:01:07
2020-05-03,48.9,203.4,50.7,***,210.3,52.2,83.8,117.2,132.2,156.5,263.4,47.4,63.7,111.5,34.5,63.2,43.0,60.9,120.1,***,207.4,***,***,***,***,***,,42.6,***,***,155.0,***,***,***,93.6,***,,***,411.3,***,***,***,111.5,,120.5,2020-05-05 06:01:06
2020-05-04,49.7,217.9,50.7,***,216.0,52.2,86.5,120.7,130.6,164.0,273.1,52.4,65.7,115.6,34.5,66.7,50.2,61.9,124.4,***,215.3,***,***,***,***,***,,42.6,***,***,164.7,***,***,***,93.6,***,,***,421.9,***,***,***,115.6,,124.6,2020-05-06 06:01:08
2020-05-05,49.7,226.9,50.7,***,231.2,52.2,89.8,127.8,130.6,171.4,297.2,53.6,65.7,121.8,35.5,66.7,50.2,63.8,129.0,***,215.3,***,***,***,***,***,,45.9,***,***,174.4,***,***,***,93.6,***,,***,432.5,***,***,***,121.8,,129.4,2020-05-07 06:01:08
